NODE_ID,NODE_TYPE,NODE_NAME,UPDATEDATE,lon,lat,gid,avg_speed
3850375600,102,명동리1390,20230519,128.8018226,35.29487492,마마18ab00ba,
3850169300,101,나전금속앞교차로,20230519,128.8742646,35.30311815,마마24bb01ba,
3850172200,102,진영병원장례식장,20230519,128.7258055,35.30611644,마마11ab01bb,44.19508671
3850172503,101,진영리991,20230519,128.7408824,35.31008312,마마12bb02ab,
3850173600,101,진영육교,20230519,128.723802,35.30680515,마마11ab01bb,
3850175000,101,진영리1665,20230519,128.7354132,35.30724781,마마12ab02aa,
3850178700,101,진영중교앞교차로,20230519,128.7351537,35.30817986,마마12ab02aa,10
3850180900,101,진영리1642,20230519,128.7272508,35.30885812,마마11ba02aa,17.56358382
3850183100,101,중흥S클래스1단지앞교차로,20230519,128.7355401,35.31187474,마마12ab02ba,29
3850185800,101,썬텔앞교차로,20230519,128.7435896,35.31412112,마마13aa02bb,33
3850186400,102,영강사,20230519,128.7937617,35.3148976,마마17ba02bb,23
3850188401,101,본산리1299-4,20230519,128.7421912,35.31934507,마마12bb03ab,
3850188501,101,가산리773,20230519,128.7598037,35.32104827,마마14ba03ba,
3850189200,102,매리271-4,20230519,128.962666,35.32063218,마마32bb03bb,
3850191300,101,경동교앞교차로,20230519,128.8307932,35.32390114,마마20bb03bb,
3850192000,101,명진빌라앞교차로,20230519,128.7993135,35.32451389,마마18aa03bb,
3850193200,101,성신양회김해공장,20230519,128.803569,35.32555044,마마18ab04aa,
3850194800,101,장방리1296-6,20230519,128.8014382,35.32790476,마마18ab04ab,17
3850195300,101,에스비케이,20230519,128.7553299,35.33109415,마마14aa04ba,6
3850196600,102,여차리1136,20230519,128.8893958,35.33800309,마마26ab05ba,
3850197000,102,시산리137-31,20230519,128.8059777,35.34534963,마마18ba06ab,17
3850197200,104,모정교,20230519,128.806563,35.34947268,마마18ba06bb,12
3850197800,101,금곡리763,20230519,128.8088337,35.35273065,마마18bb07aa,29
3850198001,101,생철리506-3,20230519,128.8502071,35.35754208,마마22ba07ba,
3850198600,101,안양회관입구교차로,20230519,128.8475167,35.37380417,마마22ab09ba,25
3850202900,101,대청로교회,20230519,128.7936995,35.19075511,마라17bb89aa,19.90390173
3850203100,104,응달동324,20230519,128.8260868,35.17659943,마라20bb87ba,17
3850206100,104,대동3터널북측,20230519,128.9711756,35.27154855,마라33bb98ab,27.60693642
3850289800,104,장유1터널북측,20230519,128.7858096,35.19941706,마라17aa90aa,7
3850318801,101,농소리652,20230519,128.8306382,35.21370067,마라21aa91ba,
3850320100,104,터널남측,20230519,128.7274217,35.28925126,마라11ba99bb,34
3850323000,104,내동천교,20230519,128.9283368,35.29202334,마마29bb00ba,
3850349706,101,율하동1417,20230519,128.8144649,35.16923184,마라19ba86bb,
3850349903,101,율하동1417,20230519,128.8147947,35.17362406,마라19ba87ab,
