gid,건물1,건물2,건물3,관공서,주차장,경제인구,전기차,차량속도,입지총점,예측_일평균이용수,총점순위
마라11ab95ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab95ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab95bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab96aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab96ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab96ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab96bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab97aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab97ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab97ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab97bb,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006068141261048015,2.2628047968481355,74.0
마라11ab98aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab98ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab98ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab98bb,0.09271523178807947,0.0,0.0,0.0,0.0,0.0,0.0,0.14922928708333333,-0.021632943167834914,3.139567418768655,772.0
마라11ab99aa,0.17880794701986755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01638398140482964,1.202700344628916,607.0
마라11ab99ab,0.07947019867549669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007281769513257618,7.535394101977326,301.0
마라11ab99ba,0.17880794701986755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01638398140482964,1.202700344628916,607.0
마라11ab99bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba90bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba91aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba91ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba91ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba91bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba92aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba92ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba92ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba92bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba93aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba93ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba93ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba93bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba94aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba94ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba94ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba94bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba95aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba95ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba95ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba95bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba96aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba96ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba96ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba96bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba97aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba97ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba97ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba97bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba98aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba98ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ba98ba,0.026490066225165563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002427256504419206,2.235757445615273,144.0
마라11ba98bb,0.033112582781456956,0.0,0.0,0.0,0.0,0.003381494005533354,0.0,0.089077553,-0.01132084961575956,2.4982503005218843,432.0
마라11ba99aa,0.16556291390728478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01517035315262004,1.202700344628916,565.0
마라11ba99ab,0.06622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006068141261048016,2.23893334135549,266.0
마라11ba99ba,0.32450331125827814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029733892179135274,1.2648083160226018,960.0
마라11ba99bb,0.11258278145695365,0.0,0.0,0.0,0.0,0.0021518598217030436,0.0,0.2833333333333333,-0.03554238838187325,1.8233788433788438,1049.0
마라11bb90bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb91aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb91ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb91ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb91bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb92aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb92ab,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006068141261048015,2.2628047968481355,74.0
마라11bb92ba,0.026490066225165563,0.0,0.0,0.0,0.0,0.002459268367660621,0.0,0.0,-0.0027507110395624586,2.362780732793172,157.0
마라11bb92bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb93aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb93ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb93ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb93bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb94aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb94ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb94ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb94bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb95aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb95ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb95ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb95bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb96aa,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001213628252209603,2.2845975411154673,93.0
마라11bb96ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb96ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb96bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb97aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb97ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb97ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb97bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb98aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb98ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb98ba,0.0,0.0,0.0,0.0,0.0,0.003381494005533354,0.0,0.0,-0.0004447499858219723,3.1871151246852025,71.0
마라11bb98bb,0.07947019867549669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007281769513257618,7.535394101977326,301.0
마라11bb99aa,0.046357615894039736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042476988827336104,2.011401784288219,208.0
마라11bb99ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11bb99ba,0.11920529801324503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010922654269886426,1.1786747273890128,417.0
마라11bb99bb,0.19205298013245034,0.0,0.0,0.0,0.0,0.0030740854595757753,0.0,0.0,-0.01800192782596831,1.1522790992076704,667.0
마라12aa90ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라12aa90bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라12aa91aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라12aa91ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라12aa91ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라12aa91bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라12aa92aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라12aa92ab,0.059602649006622516,0.0,0.0,0.0,0.0,0.003381494005533354,0.0,0.0,-0.005906077120765185,2.3583534818042207,262.0
마라12aa92ba,0.1390728476821192,0.0,0.0,0.0,0.0,0.002459268367660621,0.0,0.22605973024999998,-0.032967939361576944,1.6574790526933392,1020.0
