gid,lon,lat
마라11ba98ba,128.7273829000,35.2768867900
마라11ba98bb,128.7274169000,35.2791405300
마라11ba99aa,128.7274509000,35.2813942600
마라11ba99ab,128.7274849000,35.2836480000
마라11ba99ba,128.7275190000,35.2859017400
마라11ba99bb,128.7275530000,35.2881554700
마라11bb90bb,128.7290765000,35.2069926300
마라11bb91aa,128.7291104000,35.2092464000
마라11bb91ab,128.7291444000,35.2115001600
마라11bb91ba,128.7291784000,35.2137539200
마라11bb91bb,128.7292124000,35.2160076800
마라11bb92aa,128.7292464000,35.2182614400
마라11bb92ab,128.7292803000,35.2205152000
마라11bb92ba,128.7293143000,35.2227689500
마라11bb92bb,128.7293483000,35.2250227100
마라11bb93aa,128.7293823000,35.2272764700
마라11bb93ab,128.7294163000,35.2295302200
마라11bb93ba,128.7294503000,35.2317839700
마라11bb93bb,128.7294843000,35.2340377300
마라11bb94aa,128.7295184000,35.2362914800
마라11bb94ab,128.7295524000,35.2385452300
마라11bb94ba,128.7295864000,35.2407989800
마라11bb94bb,128.7296204000,35.2430527300
마라11bb95aa,128.7296544000,35.2453064800
마라11bb95ab,128.7296885000,35.2475602300
마라11bb95ba,128.7297225000,35.2498139700
마라11bb95bb,128.7297566000,35.2520677200
마라11bb96aa,128.7297906000,35.2543214700
마라11bb96ab,128.7298246000,35.2565752100
마라11bb96ba,128.7298587000,35.2588289500
마라11bb96bb,128.7298927000,35.2610827000
마라11bb97aa,128.7299268000,35.2633364400
마라11bb97ab,128.7299609000,35.2655901800
마라11bb97ba,128.7299949000,35.2678439200
마라11bb97bb,128.7300290000,35.2700976600
마라11bb98aa,128.7300631000,35.2723514000
마라11bb98ab,128.7300972000,35.2746051300
마라11bb98ba,128.7301312000,35.2768588700
마라11bb98bb,128.7301653000,35.2791126100
마라11bb99aa,128.7301994000,35.2813663400
마라11bb99ab,128.7302335000,35.2836200800
마라11bb99ba,128.7302676000,35.2858738100
마라11bb99bb,128.7303017000,35.2881275400
마라12aa90ba,128.7317884000,35.2047109600
마라12aa90bb,128.7318225000,35.2069647200
마라12aa91aa,128.7318565000,35.2092184800
마라12aa91ab,128.7318905000,35.2114722400
마라12aa91ba,128.7319246000,35.2137260000
마라12aa91bb,128.7319587000,35.2159797600
마라12aa92aa,128.7319927000,35.2182335200
마라12aa92ab,128.7320268000,35.2204872700
마라12aa92ba,128.7320608000,35.2227410300
마라12aa92bb,128.7320949000,35.2249947800
마라12aa93aa,128.7321290000,35.2272485400
마라12aa93ab,128.7321631000,35.2295022900
마라12aa93ba,128.7321971000,35.2317560400
마라12aa93bb,128.7322312000,35.2340097900
마라12aa94aa,128.7322653000,35.2362635400
마라12aa94ab,128.7322994000,35.2385172900
마라12aa94ba,128.7323335000,35.2407710400
마라12aa94bb,128.7323676000,35.2430247800
마라12aa95aa,128.7324017000,35.2452785300
마라12aa95ab,128.7324358000,35.2475322800
마라12aa95ba,128.7324699000,35.2497860200
마라12aa95bb,128.7325040000,35.2520397700
마라12aa96aa,128.7325382000,35.2542935100
마라12aa96ab,128.7325723000,35.2565472500
마라12aa96ba,128.7326064000,35.2588009900
마라12aa96bb,128.7326405000,35.2610547300
마라12aa97aa,128.7326747000,35.2633084700
마라12aa97ab,128.7327088000,35.2655622100
마라12aa97ba,128.7327430000,35.2678159500
마라12aa97bb,128.7327771000,35.2700696800
마라12aa98aa,128.7328113000,35.2723234200
마라12aa98ab,128.7328454000,35.2745771600
마라12aa98ba,128.7328796000,35.2768308900
마라12aa98bb,128.7329137000,35.2790846200
