gid,주차장,경도,위도,건물1,건물2,건물3,관공서,경제인구,전기차,충전소,차량속도,입지총점,총점순위
마라21ba93ba,0.0,128.836573,35.23064837,0.07947019867549669,0.24,0.0,0.0,0.30156778358438363,0.0,-0.0,-0.0,0.6210379822598804,262
마마09bb00bb,0.0,128.7084459,35.29736422,0.4966887417218543,0.12,0.0,0.0,0.0,0.0,-0.0,-0.0,0.6166887417218543,263
마마13aa02ba,0.0,128.7444248,35.31277782,0.6158940397350994,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.6158940397350994,264
마라17bb87ba,0.0,128.7945139,35.17700739,0.059602649006622516,0.28,0.0,0.0,0.3882569935444205,0.0,-0.0,-0.113800578,0.6140590645510431,265
마라29aa93ba,0.0,128.9189709,35.22971035,0.5165562913907285,0.08,0.0,0.0,0.009837073470642483,0.0,-0.0,-0.0,0.6063933648613709,266
마마11ab01ba,0.0,128.725042,35.30395947,0.1986754966887417,0.0,0.0,0.375,0.030126037503842604,0.0,-0.0,-0.0,0.6038015341925843,267
마라24bb97ab,0.0,128.8728491,35.26405307,0.4370860927152318,0.0,0.0,0.0,0.1660006148170919,0.0,-0.0,-0.0,0.6030867075323237,268
마마11ba02ab,0.0,128.7278934,35.31069277,0.039735099337748346,0.44,0.0,0.0,0.3882569935444205,0.0,-0.0,-0.2659248555,0.6020672373821688,269
마라25ab94ba,0.178021978021978,128.8779249,35.23920084,0.2980132450331126,0.0,0.0,0.375,0.10759299108515216,0.05181347150259068,-0.0,-0.23294797691666666,0.5994717307041887,270
마마12ba01ab,0.0,128.7387539,35.30156571,0.31125827814569534,0.04,0.0,0.375,0.03504457423916384,0.0,-0.0,-0.161849711,0.5994531413848592,271
마라24aa93ab,0.0,128.8640017,35.22808829,0.10596026490066225,0.2,0.0,0.375,0.22840454964648016,0.0,-0.0,-0.3109465318333333,0.5984182827138091,272
마라26ab94ab,0.0,128.8888741,35.23682163,0.1390728476821192,0.24,0.0,0.0,0.21918229326775282,0.0,-0.0,-0.0,0.598255140949872,273
마마18ab03bb,0.0,128.8023447,35.32343805,0.2119205298013245,0.04,0.8,0.0,0.020288964033200123,0.0,-0.0,-0.47422928708333334,0.5979802067511912,274
마라25aa93aa,0.0,128.8749498,35.22571035,0.2913907284768212,0.12,0.2,0.0,0.16261912081155855,0.0,-0.0,-0.1817618015,0.5922480477883798,275
마라18bb89ab,0.0,128.8057459,35.19266546,0.271523178807947,0.0,0.2,0.0,0.11958192437749769,0.0,-0.0,-0.0,0.5911051031854447,276
마라29ab93bb,0.0,128.9217568,35.23193169,0.40397350993377484,0.16,0.2,0.0,0.22932677528435289,0.0,-0.0,-0.403775289,0.5895249962181277,277
마라22ab93ba,0.0,128.844813,35.23055709,0.09933774834437085,0.36,0.0,0.0,0.29449738702735934,0.0,-0.0,-0.17135115608333334,0.5824839792883969,278
마마12ab02ab,0.0,128.7361419,35.31060872,0.11258278145695365,0.12,0.0,0.375,0.17399323701198893,0.0,-0.0,-0.20573217724999998,0.5758438412189426,279
마라20ab94aa,0.0,128.8229129,35.2353066,0.0728476821192053,0.12,0.0,0.375,0.007992622194897018,0.0,-0.0,-0.0,0.5758403043141024,280
마라24ba95bb,0.0,128.8698737,35.25056251,0.2251655629139073,0.0,0.0,0.375,0.08791884414386719,0.0,-0.0,-0.11641979766666666,0.5716646093911079,281
마라17bb89bb,0.0,128.7948357,35.19729081,0.12582781456953643,0.0,0.0,0.75,0.08730402705195205,0.0,-0.0,-0.391980973,0.5711508686214885,282
마라25ba94bb,0.0,128.88071,35.24142315,0.059602649006622516,0.0,0.0,0.375,0.13618198585920688,0.0,-0.0,-0.0,0.5707846348658294,283
마라28aa95bb,0.6659340659340659,128.9083354,35.25012095,0.3576158940397351,0.04,0.0,0.0,0.16968951736858284,0.0,-0.0,-0.0,0.5673054114083179,284
마라26aa94ab,0.0,128.8861272,35.23685312,0.07947019867549669,0.04,0.0,0.375,0.06885951429449738,0.0,-0.0,-0.0,0.5633297129699941,285
마마12ba01ba,0.0,128.7387882,35.30381943,0.006622516556291391,0.32,0.0,0.0,0.2348601291115893,0.0,-0.0,-0.0,0.5614826456678806,286
마라22ab89bb,0.0,128.8442555,35.19675222,0.5099337748344371,0.04,0.0,0.0,0.010451890562557638,0.0,-0.0,-0.0,0.5603856653969949,287
마라27ba94ba,0.0,128.9026468,35.23891682,0.23841059602649006,0.16,0.0,0.0,0.27236397171841376,0.0,-0.0,-0.11437861275,0.5563959549949038,288
마라19bb86ba,0.0,128.8163277,35.16775588,0.019867549668874173,0.08,0.0,0.375,0.08146326467875807,0.0,-0.0,-0.0,0.5563308143476322,289
마라27bb93ba,0.0,128.9052382,35.22987058,0.3443708609271523,0.16,0.2,0.0,0.08422994159237626,0.0,-0.0,-0.23333333333333334,0.5552674691861954,290
마라20ba86aa,0.0,128.8244883,35.16315873,0.006622516556291391,0.24,0.0,0.0,0.30710113741162004,0.0,-0.0,-0.0,0.5537236539679115,291
마라19aa86ba,0.0,128.808094,35.16784508,0.006622516556291391,0.0,0.0,0.0,0.0,0.5466321243523317,-0.0,-0.0,0.5532546409086231,292
마라21ab98bb,0.0,128.834602,35.27800538,0.12582781456953643,0.0,0.4,0.0,0.0046111281893636644,0.02072538860103627,-0.0,-0.0,0.5511643313599364,293
