gid,건물1,건물2,건물3,관공서,주차장,경제인구,전기차,충전소,차량속도,lon,lat
마마22ab05bb,16,0,0,0,,8.0,0,0,,128.8466406,35.34098497
마마22ab06aa,5,0,0,0,,6.0,0,0,,128.846678,35.34323858
마마22ab06ab,5,0,0,0,,,0,0,,128.8467154,35.34549219
마마22ab06ba,0,0,0,0,,,0,0,,128.8467528,35.3477458
마마22ab06bb,0,0,0,0,,,0,0,,128.8467902,35.3499994
마마22ab07aa,2,0,0,0,,0.0,0,0,,128.8468276,35.35225301
마마22ab07ab,1,0,0,0,,0.0,0,0,35.26011561,128.846865,35.35450661
마마22ab07ba,3,0,0,0,,0.0,0,0,27.36054913,128.8469025,35.35676021
마마22ab07bb,2,0,0,0,,0.0,0,0,,128.8469399,35.35901382
마마22ab08aa,0,0,0,0,,0.0,0,0,,128.8469773,35.36126742
마마22ab08ab,0,0,0,0,,,0,0,,128.8470148,35.36352102
마마22ab08ba,6,0,0,0,,,0,0,,128.8470522,35.36577462
마마22ab08bb,4,0,0,0,,0.0,0,0,,128.8470897,35.36802822
마마22ab09aa,5,0,0,0,,8.0,0,0,,128.8471271,35.37028181
마마22ab09ab,3,0,0,0,,12.0,0,0,,128.8471646,35.37253541
마마22ab09ba,37,0,0,0,,6.0,0,0,25.0,128.847202,35.37478901
마마22ab09bb,2,0,0,0,,,0,0,,128.8472395,35.3770426
마마22ab10aa,1,0,0,0,,,0,0,,128.847277,35.3792962
마마22ab10ab,0,0,0,0,,,0,0,,128.8473144,35.38154979
마마22ab10ba,0,0,0,0,,0.0,0,0,,128.8473519,35.38380338
마마22ab10bb,0,0,0,0,,0.0,0,0,,128.8473894,35.38605697
마마22ab11aa,0,0,0,0,,,0,0,,128.8474269,35.38831057
마마22ab11ab,0,0,0,0,,,0,0,,128.8474644,35.39056416
마마22ba00aa,22,0,0,0,,7.000000000000001,0,0,,128.8485301,35.28912112
마마22ba00ab,13,0,0,0,,6.0,0,0,,128.8485675,35.29137475
마마22ba00ba,0,0,0,0,,,0,0,32.3,128.8486049,35.29362837
마마22ba00bb,0,0,0,0,,,0,0,,128.8486423,35.295882
마마22ba01aa,0,0,0,0,,,3,0,,128.8486797,35.29813562
마마22ba01ab,0,0,0,0,,,0,0,,128.8487171,35.30038924
마마22ba01ba,2,0,0,0,,,0,0,,128.8487545,35.30264287
마마22ba01bb,0,0,0,0,,,0,0,,128.8487919,35.30489649
마마22ba02aa,0,0,0,0,,,0,0,,128.8488293,35.30715011
마마22ba02ab,0,0,0,0,,,0,0,,128.8488667,35.30940372
마마22ba02ba,0,0,0,0,,,0,0,,128.8489041,35.31165734
마마22ba02bb,0,0,0,0,,,0,0,,128.8489415,35.31391096
마마22ba03aa,8,0,0,0,,,0,0,,128.848979,35.31616458
마마22ba03ab,0,0,0,0,,,0,0,,128.8490164,35.31841819
마마22ba03ba,0,0,0,0,,,0,0,,128.8490538,35.32067181
마마22ba03bb,13,0,0,0,,32.0,0,0,,128.8490913,35.32292542
마마22ba04aa,28,0,0,0,,37.0,0,0,,128.8491287,35.32517903
마마22ba04ab,20,2,0,2,,69.0,27,0,,128.8491662,35.32743264
마마22ba04ba,1,0,0,0,,,0,0,,128.8492036,35.32968626
마마22ba04bb,1,0,0,0,,16.0,0,0,,128.8492411,35.33193987
마마22ba05aa,6,1,0,0,,9.0,0,0,,128.8492785,35.33419348
마마22ba05ab,2,1,0,0,,,0,0,,128.849316,35.33644708
마마22ba05ba,14,0,0,0,,,0,0,,128.8493535,35.33870069
마마22ba05bb,30,0,0,0,,0.0,0,0,,128.849391,35.3409543
마마22ba06aa,23,0,0,0,,8.0,0,0,,128.8494284,35.3432079
마마22ba06ab,0,0,0,0,,,0,0,,128.8494659,35.34546151
마마22ba06ba,2,0,0,0,,,0,0,,128.8495034,35.34771511
마마22ba06bb,1,2,0,0,,,0,0,,128.8495409,35.34996872
마마22ba07aa,15,0,0,1,,27.0,0,0,,128.8495784,35.35222232
마마22ba07ab,9,0,0,1,,22.0,0,0,,128.8496159,35.35447592
마마22ba07ba,14,0,0,0,,9.999999999999998,10,0,,128.8496534,35.35672952
마마22ba07bb,3,0,0,0,,6.0,0,0,,128.8496909,35.35898312
마마22ba08aa,12,0,0,0,,0.0,0,0,,128.8497284,35.36123672
마마22ba08ab,14,0,0,0,,9.0,0,0,,128.8497659,35.36349032
마마22ba08ba,10,0,0,0,,0.0,0,0,,128.8498034,35.36574391
마마22ba08bb,4,0,0,0,,17.0,0,0,,128.849841,35.36799751
마마22ba09aa,1,0,0,0,,13.0,0,0,,128.8498785,35.37025111
마마22ba09ab,1,0,0,0,,12.0,0,0,,128.849916,35.3725047
마마22ba09ba,0,0,0,0,,,0,0,,128.8499536,35.37475829
마마22ba09bb,10,0,0,0,,,0,0,,128.8499911,35.37701189
마마22ba10aa,4,0,0,0,,0.0,0,0,,128.8500286,35.37926548
마마22ba10ab,0,0,0,0,,,0,0,,128.8500662,35.38151907
마마22ba10ba,0,0,0,0,,,0,0,,128.8501037,35.38377266
마마22ba10bb,1,0,0,0,,0.0,0,0,,128.8501413,35.38602625
마마22ba11aa,0,0,0,0,,,0,0,,128.8501789,35.38827984
마마22ba11ab,0,0,0,0,,,0,0,,128.8502164,35.39053342
마마22ba11ba,0,0,0,0,,,0,0,,128.850254,35.39278701
마마22bb00aa,0,0,0,0,,,0,0,,128.8512787,35.28909044
마마22bb00ab,0,0,0,0,,,0,0,,128.8513162,35.29134407
마마22bb00ba,0,0,0,0,,,0,0,,128.8513537,35.29359769
