gid,건물1,건물2,건물3,행정기관,도서관,주차구획수_sum,경제인구,전기차와충전소_전처리_결과_전기차,전기차와충전소_전처리_결과_충전소,김해_차량평균속도_avg_speed
마라12ba94aa,0,0,0,0,0,,,0,0,
마라12ba94ab,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12ba94ba,0,0,0,0,0,,,0,0,
마라12ba94bb,0,0,0,0,0,,,0,0,
마라12ba95aa,0,0,0,0,0,,,0,0,
마라12ba95ab,1,0,0,0,0,,11.0000000000000000000000000000000,0,0,
마라12ba95ba,0,0,0,0,0,,,0,0,
마라12ba95bb,0,0,0,0,0,,,0,0,
마라12ba96aa,0,0,0,0,0,,,0,0,
마라12ba96ab,9,0,0,0,0,,36.0000000000000000000000000000000,2,0,
마라12ba96ba,5,0,0,0,0,,22.0000000000000000000000000000000,0,0,
마라12ba96bb,2,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12ba97aa,0,0,0,0,0,,,0,0,
마라12ba97ab,0,0,0,0,0,,,0,0,
마라12ba97ba,0,0,0,0,0,,,0,0,
마라12ba97bb,0,0,0,0,0,,,0,0,
마라12ba98aa,0,0,0,0,0,,,0,0,
마라12ba98ab,1,0,0,0,0,,,0,0,15.747109829999999
마라12ba98ba,10,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12ba98bb,0,0,0,0,0,,,0,0,
마라12ba99aa,0,0,0,0,0,,,0,0,
마라12ba99ab,0,0,0,0,0,,,0,0,
마라12ba99ba,0,0,0,0,0,,,0,0,
마라12ba99bb,0,0,0,0,0,,,0,0,
마라12bb86ba,0,0,0,0,0,,,0,0,
마라12bb86bb,0,0,0,0,0,,,0,0,
마라12bb90ba,0,0,0,0,0,,,0,0,
마라12bb90bb,0,0,0,0,0,,,0,0,
마라12bb91aa,0,0,0,0,0,,,0,0,
마라12bb91ab,0,0,0,0,0,,,0,0,
마라12bb91ba,0,0,0,0,0,,,0,0,
마라12bb91bb,0,0,0,0,0,,,0,0,
마라12bb92aa,0,0,0,0,0,,,0,0,
마라12bb92ab,0,0,0,0,0,,,0,0,
마라12bb92ba,0,0,0,0,0,,,1,0,
마라12bb92bb,2,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12bb93aa,1,0,0,0,0,,,0,0,
마라12bb93ab,0,0,0,0,0,,6.0000000000000000000000000000000,0,0,
마라12bb93ba,0,0,0,0,0,,,0,0,
마라12bb93bb,0,0,0,0,0,,,0,0,
마라12bb94aa,0,0,0,0,0,,,0,0,
마라12bb94ab,4,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12bb94ba,0,0,0,0,0,,,0,0,
마라12bb94bb,0,0,0,0,0,,,9,0,
마라12bb95aa,2,0,0,0,0,,,0,0,
마라12bb95ab,2,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12bb95ba,2,0,0,0,0,,,0,0,
